Language  Premium  PPS       BPP     EntropyMean  EntropyVar
amh_Ethi  3.8634   139.2187  1.5734  1.8403       1.4211
nya_Latn  3.5475   127.8345  1.1124  2.1927       0.6108
kat_Geor  3.4634   124.8054  2.9949  1.0252       1.4203
arb_Arab  3.1691   114.1996  1.7616  1.4220       0.4727
tam_Taml  3.1563   113.7382  3.5169  0.9420       0.8825
tha_Thai  3.1126   112.1615  3.0986  1.0855       1.2734
fin_Latn  2.5619   92.3170   1.5120  1.6024       0.8576
hrv_Latn  2.5092   90.4183   1.4103  1.7297       0.8866
heb_Hebr  2.4418   87.9910   1.9887  1.5414       1.3086
ron_Latn  2.3451   84.5075   1.7672  1.4375       1.0281
cmn_Hans  2.3438   84.4574   1.3925  1.7606       1.0237
kor_Hang  2.2774   82.0662   1.8445  1.3217       0.8134
vie_Latn  1.9570   70.5206   2.4864  1.1031       0.9569
jpn_Jpan  1.9144   68.9860   2.3270  1.1858       0.9391
ita_Latn  1.8778   67.6660   2.1966  1.1999       0.9214
srp_Cyrl  1.7713   63.8285   3.5582  0.9227       0.5412
deu_Latn  1.7401   62.7061   2.3823  1.1592       1.1120
spa_Latn  1.7093   61.5948   2.4764  1.1121       0.9784
fra_Latn  1.6527   59.5547   2.6033  1.0405       0.9343
eng_Latn  1.0000   36.0351   3.4873  0.8154       0.9091

# eng_Latn reference (raw_entropy, t_1.2041, t_lower_bound): pps=36.0351	bpp=3.4873
