Language  Premium  PPS       BPP     EntropyMean  EntropyVar
amh_Ethi  4.6155   132.0301  1.6591  1.8403       1.4211
nya_Latn  4.2045   120.2728  1.1823  2.1927       0.6108
kat_Geor  4.1306   118.1605  3.1633  1.0252       1.4203
tha_Thai  3.6814   105.3089  3.3002  1.0855       1.2734
tam_Taml  3.3411   95.5737   4.1853  0.9420       0.8825
arb_Arab  2.9048   83.0953   2.4211  1.4220       0.4727
heb_Hebr  2.8015   80.1404   2.1835  1.5414       1.3086
fin_Latn  2.7228   77.8887   1.7921  1.6024       0.8576
hrv_Latn  2.6207   74.9679   1.7009  1.7297       0.8866
cmn_Hans  2.6198   74.9428   1.5693  1.7606       1.0237
ron_Latn  2.4470   69.9990   2.1335  1.4375       1.0281
kor_Hang  2.0567   58.8325   2.5729  1.3217       0.8134
jpn_Jpan  1.9252   55.0722   2.9149  1.1858       0.9391
vie_Latn  1.8932   54.1565   3.2377  1.1031       0.9569
ita_Latn  1.7966   51.3942   2.8920  1.1999       0.9214
deu_Latn  1.7142   49.0361   3.0464  1.1592       1.1120
spa_Latn  1.6945   48.4714   3.1469  1.1121       0.9784
fra_Latn  1.6107   46.0752   3.3649  1.0405       0.9343
srp_Cyrl  1.4839   42.4473   5.3505  0.9227       0.5412
eng_Latn  1.0000   28.6058   4.3931  0.8154       0.9091

# eng_Latn reference (raw_entropy, t_1.5117, t_midpoint): pps=28.6058	bpp=4.3931
