Language  Premium  PPS       BPP     EntropyMean  EntropyVar
kat_Geor  4.9067   112.7643  3.3147  1.0252       1.4203
nya_Latn  4.5809   105.2768  1.3508  2.1927       0.6108
amh_Ethi  4.5686   104.9950  2.0863  1.8403       1.4211
tha_Thai  4.1966   96.4463   3.6035  1.0855       1.2734
tam_Taml  3.7394   85.9388   4.6545  0.9420       0.8825
heb_Hebr  3.3953   78.0301   2.2426  1.5414       1.3086
arb_Arab  2.8648   65.8385   3.0557  1.4220       0.4727
fin_Latn  2.6205   60.2237   2.3178  1.6024       0.8576
cmn_Hans  2.5901   59.5256   1.9757  1.7606       1.0237
hrv_Latn  2.5495   58.5928   2.1763  1.7297       0.8866
ron_Latn  2.3495   53.9950   2.7659  1.4375       1.0281
jpn_Jpan  1.8332   42.1314   3.8102  1.1858       0.9391
vie_Latn  1.7220   39.5737   4.4308  1.1031       0.9569
kor_Hang  1.7201   39.5306   3.8292  1.3217       0.8134
ita_Latn  1.6789   38.5848   3.8521  1.1999       0.9214
deu_Latn  1.6541   38.0150   3.9296  1.1592       1.1120
spa_Latn  1.6116   37.0381   4.1183  1.1121       0.9784
fra_Latn  1.5091   34.6810   4.4704  1.0405       0.9343
srp_Cyrl  1.3001   29.8796   7.6010  0.9227       0.5412
eng_Latn  1.0000   22.9819   5.4681  0.8154       0.9091

# eng_Latn reference (raw_entropy, t_1.8193, t_upper_bound): pps=22.9819	bpp=5.4681
